S/N,ITEM CODE,MATERIAL DESCRIPTION,UNITS,TOTAL MATERIAL IN,TOTAL MATERIAL ON SITE,BALANCE MATERIAL IN YARD,JAFFURA S19 SCAFFOLDING,DAMMAM S20 SCAFFOLDING,JAFFURA S15 SCAFFOLDING,JAFFURA 21 SCAFFOLDING,FADHILI- 22 SCAFFOLDING,OYUN - 12 SCAFFOLDING,"JAFFURA-
NMP-01",RENTAL MATERIAL,"ABU DHABI 
SCAFFOLDING"
,,,,,,,,,,,,,,,
1,5000000005,4-WAY HEAD H20 ,NOS,0,791,0,0,0,0,0,0,0,0,0,791
2,1000006673,ACCESS STEEL LADDER-2.0-MTR,NOS,0,0,0,0,0,0,0,0,0,0,0,0
3,1000006674,ACCESS STEEL LADDER-2.5-MTR,NOS,0,0,0,0,0,0,0,0,0,0,0,0
4,4000015242,ACCESS STEEL LADDER-3.0-MTR,NOS,0,102,0,0,0,65,0,9,28,0,0,0
5,4000015243,ACCESS STEEL LADDER-4.0-MTR,NOS,180,176,180,0,0,85,0,76,15,0,0,0
6,4000015244,ACCESS STEEL LADDER-5.0-MTR,NOS,0,96,0,0,0,65,0,1,10,20,0,0
7,4000015245,ACCESS STEEL LADDER-6.0-MTR,NOS,90,171,90,30,0,94,0,33,14,0,0,0
8,4000000224,ALUMINIUM LADDER-2.00MTR,NOS,0,0,0,0,0,0,0,0,0,0,0,0
9,3000002332,ALUMINIUM LADDER-2.50-MTR,NOS,0,2,0,0,0,0,0,0,0,0,0,2
10,3000000010,ALUMINIUM LADDER-3.00-MTR,NOS,0,84,0,0,0,6,0,5,15,0,0,58
11,3000002338,ALUMINIUM LADDER-3.60-MTR,NOS,0,0,0,0,0,0,0,0,0,0,0,0
12,3000002322,ALUMINIUM LADDER-4.00-MTR,NOS,0,51,0,0,0,2,0,0,7,0,0,42
13,3000002330,ALUMINIUM LADDER-5.00-MTR,NOS,0,5,0,0,0,0,0,0,0,0,0,5
14,3000000012,ALUMINIUM LADDER-6.00-MTR,NOS,0,17,0,0,0,0,0,0,0,0,0,17
15,3000000701,BASE JACK-7MMX0.760-MTR,NOS,2433,8182,2433,1210,0,3018,0,1509,729,124,0,1592
16,1000006667,BASE PLATE,NOS,2000,2149,2000,0,0,1254,0,240,193,0,0,462
17,3000000061,BEAM COUPLER ,NOS,9185,15440,9185,0,0,10,0,1000,150,0,0,14280
18,3000000064,BEAM LADDER-2-MTR,NOS,0,0,0,0,0,0,0,0,0,0,0,0
19,3000000062,BEAM LADDER-3-MTR,NOS,0,0,0,0,0,0,0,0,0,0,0,0
20,3000000063,BEAM LADDER-4-MTR,NOS,90,364,90,0,0,0,0,4,0,0,0,360
21,3000002688,BEAM LADDER-6-MTR,NOS,3900,1119,3900,0,0,0,0,4,0,0,0,1115
22,3000002869,BEAM LADDER-8-MTR,NOS,296,0,296,0,0,0,0,0,0,0,0,0
23,3000000068,BOARD RETAINING COUPLER-3.5MM / BRC,NOS,18411,115222,18411,153,0,34137,0,7294,2474,250,0,70914
24,-,BRACING TUBE-3.2MMX1.00-MTR,NOS,0,0,0,0,0,0,0,0,0,0,0,0
25,3000001221,BRACING TUBE-3.2MMX2.00-MTR,NOS,0,0,0,0,0,0,0,0,0,0,0,0
26,3000001223,BRACING TUBE-3.2MMX4.00-MTR,NOS,0,0,0,0,0,0,0,0,0,0,0,0
27,3000008524,"CAM NUT DW15, GALV",NOS,0,66,0,0,0,66,0,0,0,0,0,0
28,3000000628,CASTER WHEEL,NOS,0,36,0,0,0,16,0,12,8,0,0,0
29,5000000013,DIAGONAL CROSS 12.2 MTR,NOS,0,0,0,0,0,0,0,0,0,0,0,0
30,5000000014,DIAGONAL CROSS 12.225 MTR,NOS,0,0,0,0,0,0,0,0,0,0,0,0
31,5000000011,DIAGONAL CROSS 9.2 MTR,NOS,0,0,0,0,0,0,0,0,0,0,0,0
32,5000000012,DIAGONAL CROSS 9.225 MTR,NOS,0,0,0,0,0,0,0,0,0,0,0,0
33,3000002635,DOKA BEAM-H20N-2.45-MTR,NOS,0,1678,0,0,0,1678,0,0,0,0,0,0
34,3000000345,DOKA BEAM-H20N-2.90-MTR,NOS,0,1146,0,0,0,546,0,0,600,0,0,0
35,3000000346,DOKA BEAM-H20N-3.90-MTR,NOS,0,1238,0,0,0,1238,0,0,0,0,0,0
36,3000000347,DOKA BEAM-H20N-4.50-MTR,NOS,0,643,0,0,0,318,0,0,325,0,0,0
37,3000000348,DOKA BEAM-H20N-4.90-MTR,NOS,0,339,0,0,0,339,0,0,0,0,0,0
38,3000000349,DOKA BEAM-H20N-5.90-MTR,NOS,0,73,0,0,0,73,0,0,0,0,0,0
39,3000004464,DOKA CORNER PLATE,NOS,0,10,0,0,0,10,0,0,0,0,0,0
40,3000000352,DOKA FLANGE CLAMP G,NOS,0,6491,0,0,0,6491,0,0,0,0,0,0
41,5000000007,DOKA FLOOR PROP EUREX 20 ECO 3.5 MTR,NOS,0,106,0,0,0,106,0,0,0,0,0,0
42,5000000004,DOKA FLOOR PROP EUREX 20 ECO 4.0 MTR,NOS,0,410,0,0,0,410,0,0,0,0,0,0
43,5000000006,DOKA FLOOR PROP EUREX 20 ECO TOP 5.5 MTR,NOS,0,500,0,0,0,136,0,0,0,0,0,364
44,-,DOKA HOOK ,NOS,0,50,0,0,0,50,0,0,0,0,0,0
45,3000000354,DOKA LIFING BRACKET,NOS,0,9,0,0,0,9,0,0,0,0,0,0
46,3000000355,DOKA LOCKING PIN,NOS,0,3032,0,0,0,3032,0,0,0,0,0,0
47,3000000060,ADJUSTABLE PROP JACK-1.00-MTR,NOS,0,128,0,0,0,128,0,0,0,0,0,0
48,3000000356,DOKA UNIVERSAL ANGLE TIE BRACKET ,NOS,0,37,0,0,0,37,0,0,0,0,0,0
49,3000000353,DOKA WAILING ELEMENT CONNECTOR,NOS,0,366,0,0,0,366,0,0,0,0,0,0
50,3000000437,END SLEEVE COUPLER-(JOINT BOX),NOS,20500,23487,20500,140,0,10367,0,2560,420,0,0,10000
51,1000005010,FRAMI XLIFE LIFTING HOOK,NOS,0,6,0,0,0,6,0,0,0,0,0,0
52,1000005004,FRAMI XLIFE PANEL FRAMI CLAMP,NOS,0,168,0,0,0,168,0,0,0,0,0,0
53,1000005006,FRAMI XLIFE PANEL STRUT HEAD EB,NOS,0,67,0,0,0,67,0,0,0,0,0,0
54,1000005005,FRAMI XLIFE PANEL UNIVERSAL FIXING BOLT-5-12CM,NOS,0,350,0,0,0,350,0,0,0,0,0,0
55,1000006424,FRAMI XLIFE PANEL WAILINGS 0.70 MTR,NOS,0,84,0,0,0,84,0,0,0,0,0,0
56,1000005009,FRAMI XLIFE PANEL WEDGE CLAMP,NOS,0,63,0,0,0,63,0,0,0,0,0,0
57,1000005008,FRAMI XLIFE PANEL-BRACKET 60,NOS,0,26,0,0,0,26,0,0,0,0,0,0
58,1000005007,FRAMI XLIFE PANEL-SUPER PLATE 15.0,NOS,0,224,0,0,0,224,0,0,0,0,0,0
59,1000005003,FRAMI XLIFE UNIVERSAL PANEL-0.75X1.50MTR,NOS,0,0,0,0,0,0,0,0,0,0,0,0
60,1000005001,FRAMI XLIFE UNIVERSAL PANEL-0.75X3.00MTR,NOS,0,0,0,0,0,0,0,0,0,0,0,0
61,1000005002,FRAMI XLIFE UNIVERSAL PANEL-0.90X1.50MTR,NOS,0,0,0,0,0,0,0,0,0,0,0,0
62,1000005000,FRAMI XLIFE UNIVERSAL PANEL-0.90X3.00MTR,NOS,0,0,0,0,0,0,0,0,0,0,0,0
63,3000002340,GI-STEEL PLANKS-2MMX1.00-MTR,NOS,1600,2754,1600,175,0,901,0,350,178,0,0,1150
64,3000001211,GI-STEEL PLANKS-2MMX1.20-MTR,NOS,32,515,32,0,0,391,0,24,0,100,0,0
65,3000001212,GI-STEEL PLANKS-2MMX1.50-MTR,NOS,565,5139,565,257,0,2589,0,759,132,100,0,1302
66,3000002341,GI-STEEL PLANKS-2MMX2.00-MTR,NOS,2000,4274,2000,175,0,1982,0,1025,300,0,0,792
67,3000001214,GI-STEEL PLANKS-2MMX2.50-MTR,NOS,1300,3732,1300,375,0,2447,0,225,100,200,0,385
68,3000001215,GI-STEEL PLANKS-2MMX3.00-MTR,NOS,16725,69161,16725,475,0,15150,0,1015,675,0,0,51846
69,3000001216,GI-STEEL PLANKS-2MMX3.60-MTR,NOS,0,0,0,0,0,0,0,0,0,0,0,0
70,3000001217,GI-STEEL PLANKS-2MMX4.00-MTR,NOS,0,450,0,0,0,0,0,0,0,0,0,450
71,3000000009,Heavy Prop Jack 4.1 MTR,NOS,0,863,0,0,0,663,0,0,200,0,0,0
72,3000000011,Heavy Prop Jack 5.5 MTR,NOS,0,141,0,0,0,141,0,0,0,0,0,0
73,3000000707,LADDER SUPPORTING CLAMP,NOS,0,364,0,0,0,50,0,0,0,0,0,314
74,3000000301,LEDGER-0.60-CM,NOS,0,462,0,0,0,411,0,0,0,0,0,51
75,3000000302,LEDGER-0.90-CM,NOS,500,290,500,0,0,0,0,0,0,0,0,290
76,3000000303,LEDGER-1.00-MTR,NOS,0,5868,0,79,0,4470,0,0,150,0,0,1169
77,3000000304,LEDGER-1.20-MTR,NOS,0,2736,0,1100,0,880,0,0,176,0,0,580
78,3000000305,LEDGER-1.30-MTR,NOS,1200,375,1200,0,0,285,0,0,0,0,0,90
79,3000000306,LEDGER-1.50-MTR,NOS,144,2595,144,243,0,1419,0,0,78,0,0,855
80,3000000307,LEDGER-1.60-MTR,NOS,93,1270,93,0,0,0,0,0,0,0,0,1270
81,3000000308,LEDGER-1.80-MTR,NOS,2038,4025,2038,1263,0,1324,0,0,0,0,0,1438
82,3000003396,LEDGER-2.00-MTR,NOS,0,2279,0,0,0,1391,0,0,0,0,0,888
83,3000000309,LEDGER-2.50-MTR,NOS,4510,10349,4510,2604,0,7450,0,0,295,0,0,0
84,3000000310,LEDGER-3.00-MTR,NOS,0,115,0,0,0,25,0,0,90,0,0,0
85,3000008517,PERI BRACE CONNECTOR DUO,NOS,0,85,0,0,0,85,0,0,0,0,0,0
86,3000008518,PERI COMPENSATION WALER DUO ,NOS,0,80,0,0,0,80,0,0,0,0,0,0
87,3000004960,PERI CORNER 135X10MM,NOS,0,60,0,0,0,60,0,0,0,0,0,0
88,3000008519,PERI CORNER CONNECTOR DUO,NOS,0,66,0,0,0,66,0,0,0,0,0,0
89,3000008514,PERI COUPLER DUO,NOS,0,2325,0,0,0,2075,0,0,250,0,0,0
90,3000008515,PERI COUPLING TIE DUO,NOS,0,66,0,0,0,66,0,0,0,0,0,0
91,3000008521,PERI FIX HEAD DFH,NOS,0,80,0,0,0,80,0,0,0,0,0,0
92,5000000019,PERI FOAMLINING 135X70MM,NOS,0,0,0,0,0,0,0,0,0,0,0,0
93,5000000018,PERI FOAMLINING 135X90MM,NOS,0,0,0,0,0,0,0,0,0,0,0,0
94,3000004956,PERI MULTI PANEL DMP 135 CM X 45 CM,NOS,0,120,0,0,0,0,0,0,120,0,0,0
95,3000004954,PERI MULTI PANEL DMP 135 CM X 60 CM,NOS,0,56,0,0,0,46,0,0,10,0,0,0
96,3000005013,PERI MULTI PANEL DMP 135 CM X 75 CM,NOS,0,0,0,0,0,0,0,0,0,0,0,0
97,3000004953,PERI PANEL DP 135 CM X 90 CM,NOS,0,421,0,0,0,421,0,0,0,0,0,0
98,5000000017,Peri Prop Jack 1.8 MTR,NOS,0,0,0,0,0,0,0,0,0,0,0,0
99,3000008526,Peri Prop Jack 4.0 MTR,NOS,0,75,0,0,0,0,0,0,75,0,0,0
100,3000008516,PERI TUBE HOLDER DUO,NOS,0,85,0,0,0,85,0,0,0,0,0,0
101,3000002333,PUSH PULL JACK-540 (PANEL STRUT),NOS,0,100,0,0,0,100,0,0,0,0,0,0
102,3000000840,PUTLOG COUPLER/SINGLE COUPLER,NOS,30619,68549,30619,370,0,25872,0,7538,2800,250,0,31719
103,3000001222,RED BRACING TUBE-3.2MMX3.00-MTR,NOS,0,0,0,0,0,0,0,0,0,0,0,0
104,5000000008,REMOVABLE FOLDING TRIPOD ECO,NOS,0,183,0,0,0,0,0,0,0,0,0,183
105,3000000849,RIGHT DOUBLE COUPLER H/D/FIXED,NOS,29798,178246,29798,6487,0,62567,0,18783,5396,500,0,84513
106,1000006668,ROCKING BASE JACK,NOS,0,0,0,0,0,0,0,0,0,0,0,0
107,3000001196,SPIGOT PIN,NOS,5115,1427,5115,0,0,0,0,0,132,0,0,1295
108,3000001196 - A,"SPIGOT PIN,NUT,BOLT",NOS,115,3640,115,905,0,2632,0,0,103,0,0,0
109,3000000316,STANDARD 2.00 MTR.,NOS,398,822,398,120,0,576,0,0,0,0,0,126
110,3000000312,STANDARD-1.00-MTR,NOS,500,332,500,0,0,30,0,0,0,0,0,302
111,3000000313,STANDARD-1.30-MTR,NOS,0,242,0,0,0,200,0,0,0,0,0,42
112,3000000314,STANDARD-1.50-MTR,NOS,500,1762,500,683,0,830,0,0,45,0,0,204
113,3000000315,STANDARD-1.80-MTR,NOS,0,0,0,0,0,0,0,0,0,0,0,0
114,3000000317,STANDARD-2.50-MTR,NOS,100,249,100,0,0,249,0,0,0,0,0,0
115,3000000318,STANDARD-3.00-MTR,NOS,3102,6140,3102,1161,0,2925,0,0,224,0,0,1830
116,5000000010,STAXO 40 FRAME 0.90 MTR,NOS,0,0,0,0,0,0,0,0,0,0,0,0
117,5000000016,STAXO 40 SCREW JACK FOOT 30 CM ,NOS,0,0,0,0,0,0,0,0,0,0,0,0
118,5000000015,STAXO 40 SCREW JACK U-HEAD 30 CM ,NOS,0,0,0,0,0,0,0,0,0,0,0,0
119,3000002701,STEEL TUBE-4MMX0.50-CM-(HANGING),NOS,1170,6020,1170,625,0,3738,0,1399,258,0,0,0
120,3000002771,STEEL TUBE-4MMX0.60-CM-(HANGING),NOS,4690,784,4690,0,0,0,0,650,0,0,0,134
121,3000002777,STEEL TUBE-4MMX0.75-CM-(HANGING),NOS,4734,2861,4734,564,0,1236,0,966,95,0,0,0
122,3000002700,STEEL TUBE-4MMX1.00-MTR-(HANGING),NOS,2930,9582,2930,680,0,4263,0,3147,521,100,0,871
123,3000002699,STEEL TUBE-4MMX1.50-MTR-(HANGING),NOS,7402,15252,7402,1082,0,10665,0,1962,432,6,0,1105
124,3000002698,STEEL TUBE-4MMX2.00-MTR-(HANGING),NOS,8907,10409,8907,796,0,4342,0,3360,753,0,0,1158
125,1000006677,STEEL TUBE-4MMX2.50-MTR-(HANGING),NOS,2149,5153,2149,204,0,3698,0,1004,148,75,0,24
126,3000002697,STEEL TUBE-4MMX3.00-MTR-(HANGING),NOS,2116,10266,2116,869,0,5177,0,2792,793,75,0,560
127,1000006676,STEEL TUBE-4MMX3.50-MTR-(HANGING),NOS,11,1216,11,307,0,839,0,64,6,0,0,0
128,3000002696,STEEL TUBE-4MMX4.00-MTR-(HANGING),NOS,2155,7277,2155,636,0,3566,0,1159,666,0,0,1250
129,3000002693,STEEL TUBE-4MMX5.00-MTR-(HANGING),NOS,0,56,0,0,0,6,0,50,0,0,0,0
130,3000002693-A,STEEL TUBE-4MMX5.50-MTR-(HANGING),NOS,0,140,0,0,0,140,0,0,0,0,0,0
131,3000002692,STEEL TUBE-4MMX6.00-MTR-(HANGING),NOS,2992,10710,2992,735,0,5606,0,1060,449,50,0,2810
132,3000002334,STEEL WAILING 1.0 MTR,NOS,0,105,0,0,0,95,0,0,10,0,0,0
133,3000003828,STEEL WAILING 1.3 MTR,NOS,0,30,0,0,0,30,0,0,0,0,0,0
134,3000000358,STEEL WAILING 1.5 MTR,NOS,0,60,0,0,0,35,0,0,25,0,0,0
135,3000000359,STEEL WAILING 2.0 MTR,NOS,0,50,0,0,0,25,0,0,25,0,0,0
136,3000000361,STEEL WAILING 2.5 MTR,NOS,0,115,0,0,0,115,0,0,0,0,0,0
137,3000000363,STEEL WAILING 3.0 MTR,NOS,0,158,0,0,0,108,0,0,50,0,0,0
138,3000000364,STEEL WAILING 4.0 MTR,NOS,0,315,0,0,0,280,0,0,35,0,0,0
139,3000001229,SWIVEL COUPLER/ROLLING,NOS,4,35609,4,2650,0,12724,0,4420,1440,250,0,14125
140,3000001060,TRANSOM-HUB-0.90-MTR,NOS,100,0,100,0,0,0,0,0,0,0,0,0
141,3000001061,TRANSOM-HUB-1.00-MTR ,NOS,0,2188,0,0,0,1958,0,0,30,200,0,0
142,3000001062,TRANSOM-HUB-1.20-MTR,NOS,0,605,0,0,0,540,0,0,65,0,0,0
143,1000006776,TRANSOM-HUB-1.30-MTR,NOS,500,0,500,0,0,0,0,0,0,0,0,0
144,3000002634,TRANSOM-HUB-1.50-MTR,NOS,0,617,0,0,0,476,0,0,41,100,0,0
145,3000002636,TRANSOM-HUB-1.60-MTR,NOS,0,52,0,0,0,0,0,0,0,0,0,52
146,3000001063,TRANSOM-HUB-1.80-MTR,NOS,896,782,896,0,0,627,0,0,0,155,0,0
147,3000003972,TRANSOM-HUB-2.00-MTR,NOS,0,231,0,0,0,165,0,0,10,0,0,56
148,3000001064,TRANSOM-HUB-2.50-MTR,NOS,500,959,500,140,0,522,0,0,110,0,0,187
149,3000001065,TRANSOM-HUB-3.00-MTR,NOS,0,25,0,0,0,0,0,0,25,0,0,0
150,5000000009,U HEAD,NOS,0,1360,0,0,0,1360,0,0,0,0,0,0
151,5000000003,WAILING CONNER CONNECTOR 550MM,NOS,0,158,0,0,0,158,0,0,0,0,0,0
152,5000000002,WAILING CONNER CONNECTOR 720MM,NOS,0,14,0,0,0,14,0,0,0,0,0,0
153,5000000001,WAILING CONNER CONNECTOR 780MM,NOS,0,14,0,0,0,14,0,0,0,0,0,0
154,1000006666,WOODEN PLANKS-1.0-MTR,NOS,0,3314,0,0,0,825,0,420,104,129,0,1836
155,4000015675,WOODEN PLANKS-1.5-MTR,NOS,16,1500,16,0,0,958,0,506,12,21,0,3
156,4000017082,WOODEN PLANKS-2.0-MTR,NOS,23,1629,23,200,0,718,0,116,95,0,0,500
157,4000017083,WOODEN PLANKS-2.5-MTR,NOS,0,360,0,0,0,151,0,0,50,0,0,159
158,4000015873,WOODEN PLANKS-3.0-MTR,NOS,0,687,0,120,0,143,0,203,151,0,0,70
159,4000017084,WOODEN PLANKS-4.0-MTR,NOS,0,1249,0,40,0,635,0,184,190,0,0,200
160,3000003029,STEEL TUBE-4MMX1.20-MTR-(HANGING),NOS,24,6,24,0,0,0,0,0,0,6,0,0
161,3000003029,U JACK-7MMX0.500-MTR,NOS,0,1338,0,0,0,1200,0,0,138,0,0,0
162,1000006010,PERI TRIO COMPENSATION WALER TAR 85,NOS,0,50,0,0,0,50,0,0,0,0,0,0
163,3000001220,RED BRACING TUBE-3.2MMX1.50-MTR,NOS,0,5,0,0,0,5,0,0,0,0,0,0
164,3000001221,RED BRACING TUBE-3.2MMX2.00-MTR,NOS,0,77,0,0,0,77,0,0,0,0,0,0
165,3000001223,RED BRACING TUBE-3.2MMX4.00-MTR,NOS,0,100,0,0,0,100,0,0,0,0,0,0
166,3000001224,RED BRACING TUBE-3.2MMX5.00-MTR,NOS,0,40,0,0,0,40,0,0,0,0,0,0
167,-,STEEL WAILING 1.8 MTR,NOS,0,25,0,0,0,0,0,0,25,0,0,0
168,3000001802,DOKA BEAM-H20N-1.00-MTR,NOS,0,100,0,0,0,0,0,0,100,0,0,0
169,-,PERI MULTI PANEL DMP 135 CM X 30 CM,NOS,0,30,0,0,0,0,0,0,30,0,0,0
170,-,PERI MULTI PANEL DMP 135 CM X 10 CM,NOS,0,2,0,0,0,0,0,0,2,0,0,0
